
[00:00:00.000 --> 00:00:10.000]   [BLANK_AUDIO]
[00:00:30.000 --> 00:00:40.000]   [BLANK_AUDIO]
[00:01:00.000 --> 00:01:10.000]   [BLANK_AUDIO]
[00:01:30.000 --> 00:01:40.000]   [BLANK_AUDIO]
[00:02:00.000 --> 00:02:10.000]   [BLANK_AUDIO]
[00:02:30.000 --> 00:02:40.000]   [BLANK_AUDIO]
[00:03:00.000 --> 00:03:10.000]   [BLANK_AUDIO]
[00:03:30.000 --> 00:03:40.000]   [BLANK_AUDIO]
[00:04:00.000 --> 00:04:10.000]   [BLANK_AUDIO]
[00:04:30.000 --> 00:04:40.000]   [BLANK_AUDIO]
[00:05:00.000 --> 00:05:10.000]   [BLANK_AUDIO]
[00:05:30.000 --> 00:05:40.000]   [BLANK_AUDIO]
[00:05:40.000 --> 00:05:50.000]   [BLANK_AUDIO]
[00:06:10.000 --> 00:06:20.000]   [BLANK_AUDIO]
[00:06:40.000 --> 00:06:50.000]   [BLANK_AUDIO]
[00:07:10.000 --> 00:07:20.000]   [BLANK_AUDIO]
[00:07:40.000 --> 00:07:50.000]   [BLANK_AUDIO]
[00:07:50.000 --> 00:08:00.000]   [BLANK_AUDIO]
[00:08:00.000 --> 00:08:10.000]   [BLANK_AUDIO]
[00:08:10.000 --> 00:08:20.000]   [BLANK_AUDIO]
[00:08:20.000 --> 00:08:30.000]   [BLANK_AUDIO]
[00:08:30.000 --> 00:08:40.000]   [BLANK_AUDIO]
[00:08:40.000 --> 00:08:50.000]   [BLANK_AUDIO]
[00:08:50.000 --> 00:09:00.000]   [BLANK_AUDIO]
[00:09:00.000 --> 00:09:10.000]   [BLANK_AUDIO]
[00:09:10.000 --> 00:09:20.000]   [BLANK_AUDIO]
[00:09:20.000 --> 00:09:32.000]   [BLANK_AUDIO]
[00:09:32.000 --> 00:09:42.000]   [BLANK_AUDIO]
[00:09:42.000 --> 00:10:10.000]   [BLANK_AUDIO]
[00:10:10.000 --> 00:10:20.000]   [BLANK_AUDIO]
[00:10:20.000 --> 00:10:48.000]   [BLANK_AUDIO]
[00:10:48.000 --> 00:10:58.000]   [BLANK_AUDIO]
[00:10:58.000 --> 00:11:16.000]   [BLANK_AUDIO]
[00:11:16.000 --> 00:11:26.000]   [BLANK_AUDIO]
[00:11:26.000 --> 00:11:54.000]   [BLANK_AUDIO]
[00:11:54.000 --> 00:12:04.000]   [BLANK_AUDIO]
[00:12:04.000 --> 00:12:32.000]   [BLANK_AUDIO]
[00:12:32.000 --> 00:12:42.000]   [BLANK_AUDIO]
[00:12:42.000 --> 00:13:10.000]   [BLANK_AUDIO]
[00:13:10.000 --> 00:13:20.000]   [BLANK_AUDIO]
[00:13:20.000 --> 00:13:48.000]   [BLANK_AUDIO]
[00:13:48.000 --> 00:13:58.000]   [BLANK_AUDIO]
[00:13:58.000 --> 00:14:26.000]   [BLANK_AUDIO]
[00:14:26.000 --> 00:14:36.000]   [BLANK_AUDIO]
[00:14:36.000 --> 00:15:04.000]   [BLANK_AUDIO]
[00:15:04.000 --> 00:15:14.000]   [BLANK_AUDIO]
[00:15:14.000 --> 00:15:42.000]   [BLANK_AUDIO]
[00:15:42.000 --> 00:15:52.000]   [BLANK_AUDIO]
[00:15:52.000 --> 00:16:20.000]   [BLANK_AUDIO]
[00:16:20.000 --> 00:16:48.000]   [BLANK_AUDIO]
[00:16:48.000 --> 00:16:58.000]   [BLANK_AUDIO]
[00:16:58.000 --> 00:17:26.000]   [BLANK_AUDIO]
[00:17:26.000 --> 00:17:36.000]   [BLANK_AUDIO]
[00:17:36.000 --> 00:18:04.000]   [BLANK_AUDIO]
[00:18:04.000 --> 00:18:14.000]   [BLANK_AUDIO]
