
[00:00:00.000 --> 00:00:19.000]   [ Inaudible ]
[00:00:30.000 --> 00:00:37.000]   [ Silence ]
[00:01:00.000 --> 00:01:10.000]   [ Silence ]
[00:01:30.000 --> 00:01:37.000]   [ Silence ]
[00:02:00.000 --> 00:02:07.000]   [ Silence ]
[00:02:30.000 --> 00:02:37.000]   [ Silence ]
[00:02:37.000 --> 00:02:44.000]   [ Silence ]
[00:02:44.000 --> 00:02:51.000]   [ Silence ]
[00:02:51.000 --> 00:02:58.000]   [ Silence ]
[00:02:58.000 --> 00:03:05.000]   [ Laughter ]
[00:03:21.000 --> 00:03:28.000]   [ Inaudible ]
[00:03:28.000 --> 00:03:35.000]   [ Laughter ]
[00:03:35.000 --> 00:03:42.000]   [ Silence ]
[00:03:42.000 --> 00:03:49.000]   [ Laughter ]
[00:03:49.000 --> 00:03:56.000]   [ Inaudible ]
[00:03:56.000 --> 00:04:03.000]   [ Silence ]
[00:04:03.000 --> 00:04:10.000]   [ Laughter ]
[00:04:10.000 --> 00:04:17.000]   [ Laughter ]
[00:04:17.000 --> 00:04:24.000]   [ Laughter ]
[00:04:24.000 --> 00:04:31.000]   [ Inaudible ]
[00:04:31.000 --> 00:04:38.000]   [ Inaudible ]
[00:04:38.000 --> 00:04:45.000]   [ Inaudible ]
[00:05:08.000 --> 00:05:15.000]   [ Laughter ]
[00:05:15.000 --> 00:05:20.000]   [ Inaudible ]
[00:05:20.000 --> 00:05:27.000]   [ Inaudible ]
[00:05:27.000 --> 00:05:34.000]   [ Laughter ]
[00:05:34.000 --> 00:05:41.000]   [ Laughter ]
[00:05:41.000 --> 00:05:48.000]   [ Laughter ]
[00:05:48.000 --> 00:05:55.000]   [ Laughter ]
[00:05:55.000 --> 00:06:02.000]   [ Laughter ]
[00:06:02.000 --> 00:06:09.000]   [ Laughter ]
[00:06:09.000 --> 00:06:16.000]   [ Laughter ]
[00:06:16.000 --> 00:06:23.000]   [ Inaudible ]
[00:06:23.000 --> 00:06:30.000]   [ Laughter ]
[00:06:30.000 --> 00:06:37.000]   [ Inaudible ]
[00:06:37.000 --> 00:06:44.000]   [ Laughter ]
[00:06:44.000 --> 00:06:51.000]   [ Inaudible ]
[00:06:51.000 --> 00:06:56.000]   [ Laughter ]
[00:06:56.000 --> 00:07:03.000]   [ Inaudible ]
[00:07:03.000 --> 00:07:10.000]   [ Laughter ]
[00:07:10.000 --> 00:07:19.000]   [ Laughter ]
[00:07:19.000 --> 00:07:26.000]   [ Inaudible ]
[00:07:26.000 --> 00:07:35.000]   [ Inaudible ]
[00:07:35.000 --> 00:07:42.000]   [ Inaudible ]
[00:07:42.000 --> 00:07:47.000]   [ Inaudible ]
[00:07:47.000 --> 00:07:54.000]   [ Inaudible ]
[00:07:54.000 --> 00:08:00.000]   [ Inaudible ]
[00:08:00.000 --> 00:08:07.000]   [ Inaudible ]
[00:08:07.000 --> 00:08:16.000]   [ Inaudible ]
[00:08:16.000 --> 00:08:32.000]   [ Inaudible ]
[00:08:32.000 --> 00:08:41.000]   [ Inaudible ]
[00:08:41.000 --> 00:08:48.000]   [ Inaudible ]
[00:08:48.000 --> 00:08:53.000]   [ Inaudible ]
[00:08:53.000 --> 00:08:58.000]   [ Inaudible ]
[00:08:58.000 --> 00:09:05.000]   [ Inaudible ]
[00:09:05.000 --> 00:09:12.000]   [ Inaudible ]
[00:09:12.000 --> 00:09:21.000]   [ Inaudible ]
[00:09:21.000 --> 00:09:37.000]   [ Inaudible ]
[00:09:37.000 --> 00:09:53.000]   [ Inaudible ]
[00:09:53.000 --> 00:10:10.000]   [ Inaudible ]
[00:10:10.000 --> 00:10:18.000]   [ Inaudible ]
[00:10:18.000 --> 00:10:23.000]   [ Inaudible ]
[00:10:23.000 --> 00:10:28.000]   [ Inaudible ]
[00:10:28.000 --> 00:10:31.000]   [ Inaudible ]
[00:10:31.000 --> 00:10:32.000]   Can you hear me?
[00:10:32.000 --> 00:10:35.000]   [ Inaudible ]
[00:10:35.000 --> 00:10:41.000]   I'm here tonight to discuss the mission of parent consideration during the hiring process
[00:10:41.000 --> 00:10:44.000]   of some executives at the administration level tonight.
[00:10:44.000 --> 00:10:48.000]   I'm speaking specifically about the executive director of special services.
[00:10:48.000 --> 00:10:55.000]   The district's lack of parent consideration, even just requesting input prior to the candidate interviewing process,
[00:10:55.000 --> 00:10:57.000]   is alarming at best.
[00:10:57.000 --> 00:11:02.000]   In this tumultuous year of behind closed doors and selective communication,
[00:11:02.000 --> 00:11:06.000]   I had hoped parents voices would have been factored in.
[00:11:06.000 --> 00:11:09.000]   While some executive level roles may be specialized,
[00:11:09.000 --> 00:11:17.000]   not interacting with parents or students daily, are the decision makers responsible for policies
[00:11:17.000 --> 00:11:23.000]   and processes communicated to their team of educators that do work with students.
[00:11:23.000 --> 00:11:31.000]   How can a person at this level develop a purposeful course of action for our students,
[00:11:31.000 --> 00:11:37.000]   especially in this complex field of special services, if they are not active in the classroom,
[00:11:37.000 --> 00:11:41.000]   every so often, with students they're making decisions for.
[00:11:41.000 --> 00:11:45.000]   We've got to protect GCISD.
[00:11:45.000 --> 00:11:49.000]   This concludes public comment.
[00:11:49.000 --> 00:11:51.000]   All right.
[00:11:51.000 --> 00:11:55.000]   And also for the record, all trustees are here for the roll call piece.
[00:11:55.000 --> 00:12:03.000]   Next items report the superintendent item A act on recommendation for the executive director of special services documents.
[00:12:03.000 --> 00:12:09.000]   Good evening, everyone. It's always fun when we're able to welcome new leaders into GCISD
[00:12:09.000 --> 00:12:12.000]   and maybe elevate some talent that we currently have.
[00:12:12.000 --> 00:12:17.000]   And so this first recommendation is for our executive director of special services.
[00:12:17.000 --> 00:12:22.000]   The executive director of special services position was posted on December 19th, 2022,
[00:12:22.000 --> 00:12:27.000]   since the posting date the district has accepted applications, screen applicants, and held interviews.
[00:12:27.000 --> 00:12:33.000]   We have identified Lisa Shockley as a finalist for this position.
[00:12:33.000 --> 00:12:37.000]   Lisa is currently the executive director of special populations at Little Loma ISD.
[00:12:37.000 --> 00:12:44.000]   She has also served in leadership roles within the special education departments of Mansfield Killer and Eagle Mountain Saginaw ISDs.
[00:12:44.000 --> 00:12:51.000]   She has experienced teaching special education at the elementary level and has served as a behavior intervention teacher in educational diagnostician.
[00:12:51.000 --> 00:12:57.000]   Lisa has a Bachelor of Arts in Psychology, a Master of Arts in special education, and a diagnostician certification.
[00:12:57.000 --> 00:13:03.000]   We're excited to recommend Lisa Shockley as the executive director of special services for GCISD.
[00:13:03.000 --> 00:13:11.000]   The recommendation is for the Board of Trustees to approve Lisa Shockley as our new executive director of special services position.
[00:13:11.000 --> 00:13:24.000]   We have a recommendation to have a motion to approve Dr. Shouts' recommendation.
[00:13:24.000 --> 00:13:39.000]   So Brad, I think there was an interesting question raised, and maybe you can just kind of enlighten us on what the difference is between
